Cluster ID;size;profile_id;Year of date;Month of date;#bookings;#comments;#favourites;#improvements;#likes;#messages;#relationships;#replies;#responses;#reviews;#topics;points;ratio;std dev;impact;std dev impact
2009;108;1123;2014;1;0;0;1;6;0;0;0;0;0;6;0;127;0,00;0,00;0,00;0,00
2009;108;1123;2014;2;0;0;1;9;0;0;0;0;0;8;0;462;0,00;0,00;0,00;0,00
2009;108;1123;2014;3;0;0;0;0;0;1;1;0;0;4;0;46;0,00;0,00;0,00;0,00
2009;108;1123;2014;4;0;0;0;1;0;0;0;0;0;3;0;32;0,00;0,00;0,00;0,00
2009;108;1123;2014;5;0;0;2;1;0;1;0;0;0;1;0;26;0,00;0,00;0,00;0,00
2009;108;1123;2014;6;0;0;0;5;0;0;0;0;0;3;0;110;0,00;0,00;0,00;0,00
2009;108;1123;2014;7;0;0;0;0;0;1;1;0;0;8;0;56;0,00;0,00;0,00;0,00
2009;108;1123;2014;8;0;0;1;3;0;0;0;0;0;7;0;122;0,00;0,00;1,00;0,35
2009;108;1123;2014;9;0;0;1;3;0;1;0;0;0;11;0;126;0,00;0,00;1,00;0,29
2009;108;1123;2014;10;0;0;0;3;0;0;0;0;0;6;0;109;1,00;0,37;0,00;0,00
2009;108;1123;2014;11;0;0;0;5;0;0;0;0;2;10;0;165;0,00;0,00;0,00;0,00
2009;108;1123;2014;12;0;0;1;2;0;0;0;1;0;20;0;202;1,00;0,22;0,00;0,00
2009;108;1123;2015;1;0;0;2;5;1;0;0;0;2;12;0;195;0,00;0,00;1,00;0,28
2009;108;1123;2015;2;0;0;3;4;0;0;0;1;0;7;0;125;0,00;0,00;0,00;0,00
2009;108;1123;2015;3;0;0;2;11;0;0;0;0;0;13;0;276;0,00;0,00;4,00;0,46
2009;108;1123;2015;4;0;0;1;21;4;1;1;0;1;29;0;1042;0,00;0,00;1,00;0,18
2009;108;1123;2015;5;0;0;1;5;0;2;0;1;0;13;0;176;0,00;0,00;4,00;0,72
2009;108;1123;2015;6;0;0;3;21;5;0;0;0;4;13;0;510;0,00;0,00;1,00;0,27
2009;108;1123;2015;7;0;0;2;6;5;0;0;1;11;14;0;252;0,00;0,00;1,00;0,26
2009;108;1123;2015;8;0;0;0;5;0;0;0;0;5;9;0;148;0,00;0,00;2,00;0,42
2009;108;1123;2015;9;0;0;2;8;0;0;0;0;0;4;0;170;0,00;0,00;0,00;0,00
2009;108;1123;2015;10;0;0;0;2;3;0;0;0;2;11;0;139;2,00;0,57;0,00;0,00
2009;108;1123;2015;11;0;0;0;2;1;0;0;0;1;9;0;131;0,00;0,00;0,00;0,00
2009;108;1123;2015;12;0;0;0;15;3;0;0;1;0;11;0;340;0,00;0,00;0,00;0,00
2009;108;1123;2016;1;0;0;0;1;1;0;0;1;0;9;0;104;0,00;0,00;0,00;0,00
2009;108;1123;2016;2;0;0;1;1;4;0;0;0;6;8;0;105;0,00;0,00;1,00;0,33
2009;108;1123;2016;3;0;0;1;4;1;0;0;0;1;8;0;138;0,00;0,00;0,00;0,00
2009;108;1123;2016;4;0;0;1;6;2;0;0;1;0;1;0;95;0,00;0,00;1,00;0,00
2009;108;1123;2016;5;0;0;0;3;7;0;0;0;0;5;0;84;0,00;0,00;0,00;0,00
2009;108;1123;2016;6;0;0;0;0;2;0;0;0;1;6;0;38;1,00;0,37;0,00;0,00
2009;108;1123;2016;7;0;0;0;5;0;0;0;0;1;7;0;140;0,00;0,00;1,00;0,35
2009;108;1123;2016;8;0;0;0;4;21;0;0;0;6;5;0;95;1,00;0,40;0,00;0,00
2009;108;1123;2016;9;0;0;0;5;3;1;0;0;12;5;0;112;0,00;0,00;0,00;0,00
2009;108;1123;2016;10;0;0;1;3;2;0;0;0;3;13;0;138;1,00;0,27;0,00;0,00
2009;108;1130;2014;6;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1130;2015;7;0;0;0;0;0;0;0;0;1;3;0;56;0,00;0,00;2,00;0,94
2009;108;1130;2015;11;0;0;0;0;0;0;0;0;0;2;0;20;1,00;0,50;0,00;0,00
2009;108;1130;2015;12;0;0;0;0;0;0;0;0;0;1;0;15;0,00;0,00;0,00;0,00
2009;108;1130;2016;2;0;0;0;0;0;0;0;0;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;1130;2016;6;0;0;0;0;0;0;0;0;0;1;0;21;0,00;0,00;0,00;0,00
2009;108;1137;2014;1;0;0;0;0;0;0;0;0;0;1;0;21;0,00;0,00;0,00;0,00
